progress,invariant1,invariant2,invariant3
6.076403643192306303e-01,1.318683818253605144e+00,-2.238231828591591199e+00,5.965550963616360391e+00
6.200369307294235632e-01,1.320516378986947181e+00,-2.335657093980318955e+00,4.384986139658471060e+00
6.329483719267787745e-01,1.321613025109070305e+00,-2.558770160547836348e+00,2.603321113362923267e+00
6.458412445797654389e-01,1.323532256146671360e+00,-2.892830642290719290e+00,6.353688452557552102e-01
6.585968069695062876e-01,1.325538007786023487e+00,-3.313902972023528015e+00,-1.496588998627860878e+00
6.709939131800943812e-01,1.328535702429782139e+00,-3.790401671802703376e+00,-3.761314745477069010e+00
6.835577035687598890e-01,1.330124188530561025e+00,-4.280053375822981288e+00,-6.117244062952736705e+00
6.958784385147963603e-01,1.331242745960272700e+00,-4.727324296572119167e+00,-8.511679590917783145e+00
7.074390381264576977e-01,1.332183019505683408e+00,-5.065490028713598214e+00,-1.088078395838239487e+01
7.186235892521979363e-01,1.330449870799421008e+00,-5.218715319190207147e+00,-1.315035300077569325e+01
7.295086389249155756e-01,1.327033401691553482e+00,-5.107155064542071798e+00,-1.523729800407255297e+01
7.399083026329646984e-01,1.320045338338450280e+00,-4.657738909849581610e+00,-1.705243488584754985e+01
7.501614612891682743e-01,1.310987629772381480e+00,-3.819043336668059396e+00,-1.850517441519817652e+01
7.595086853786556791e-01,1.306993428593576034e+00,-2.583970181299639179e+00,-1.951064284219298983e+01
7.681679958858963486e-01,1.308644598015830107e+00,-1.010995311595202173e+00,-1.999959096486814403e+01
7.761928247216317578e-01,1.310039032771433076e+00,7.728260872339649534e-01,-1.993047892351843942e+01
7.830823933176348506e-01,1.312329190166287463e+00,2.587894799274897295e+00,-1.930084213452438746e+01
7.893623529823695639e-01,1.315187177473033930e+00,4.229359755783301367e+00,-1.815378671546906020e+01
7.952591972930128650e-01,1.317189511074431829e+00,5.499260118596676072e+00,-1.657645380469847751e+01
8.011274448859697639e-01,1.314751711091904030e+00,6.237351429272593784e+00,-1.468969176411861177e+01
8.070729589118574854e-01,1.313022897765870223e+00,6.353487210015030584e+00,-1.263097065773590089e+01
8.135178764328834244e-01,1.312232249031884290e+00,5.863154081607299339e+00,-1.053458668820405819e+01
8.202917538081981874e-01,1.317734771998170018e+00,4.915073630660135251e+00,-8.514345420381333795e+00
8.273967288242342066e-01,1.321106815823280156e+00,3.784120187607124652e+00,-6.653428143427671415e+00
8.346924326622666701e-01,1.319924255952257486e+00,2.820796151303080368e+00,-5.003680670957250776e+00
8.417513261676197178e-01,1.325388078107582190e+00,2.377643007289068855e+00,-3.592236301471414261e+00
8.481607896206048158e-01,1.329903452940259356e+00,2.725686202377608502e+00,-2.430547033182439698e+00
8.546333870763186402e-01,1.341734739698666079e+00,3.974432297922819934e+00,-1.520254185894180265e+00
8.608158673699314312e-01,1.346439851039717750e+00,6.038057578491182298e+00,-8.522246792736838383e-01
8.667807782570393638e-01,1.314925423572202101e+00,8.654271148792796353e+00,-3.996671424951089291e-01
8.725625628677504686e-01,1.271723157423204187e+00,1.143585998749207633e+01,-1.110911101127803891e-01
8.790083745265002690e-01,1.237894502559415466e+00,1.396554482556123133e+01,8.936206728831319612e-02
8.853249262226653427e-01,1.212977992194880450e+00,1.590523123033240793e+01,2.905014420659487451e-01
8.919038256980661439e-01,1.222822160797217173e+00,1.706629711118110038e+01,5.742598490041339598e-01
8.989272154828045203e-01,1.268621173507741950e+00,1.741510998775232011e+01,9.955773299216345018e-01
9.065028250345137373e-01,1.306236545074017874e+00,1.703461654759635024e+01,1.570108878353266180e+00
9.147863852877912150e-01,1.323849322120291383e+00,1.607576214900841904e+01,2.274133809312797183e+00
9.232857706028770872e-01,1.338198462021041646e+00,1.472001846412976533e+01,3.054781658692993229e+00
9.317095558234897990e-01,1.336418243676369633e+00,1.315237993692058538e+01,3.844044973162548562e+00
9.406637402675658288e-01,1.341112326321313830e+00,1.153835079325867241e+01,4.570665871786468770e+00
9.496650814021033726e-01,1.338422310138605242e+00,1.001140638130880767e+01,5.169402150452154565e+00
9.584749328639095012e-01,1.332204915987516669e+00,8.657678891733105786e+00,5.588199842643088111e+00
9.677628937162050526e-01,1.322306577473501221e+00,7.506762263528091061e+00,5.792658618237586765e+00
9.772132032747037345e-01,1.299920157945615884e+00,6.529336035449598619e+00,5.767176151429556086e+00
9.866082763327549410e-01,1.294993727165527631e+00,5.646524503061366218e+00,5.513706341688579649e+00
9.965907691202584573e-01,1.301444543663274001e+00,4.778163982931821430e+00,5.048722657348386100e+00
1.006621831512787280e+00,1.311470104238366075e+00,3.896712226875380658e+00,4.399005473632505492e+00
1.016467325702776092e+00,1.318027692331600109e+00,3.035430655384646847e+00,3.596793398254167329e+00
1.026039033178621329e+00,1.317570488331220258e+00,2.264738275703083836e+00,2.674868064603035389e+00
1.034965199633244959e+00,1.323173605998776425e+00,1.671333993512481131e+00,1.662543107078144899e+00
1.044220873105355940e+00,1.323117390967620599e+00,1.328027706220355153e+00,5.836988734490577979e-01
1.053066341447204568e+00,1.321046042843017965e+00,1.263720234204659842e+00,-5.427661948409413517e-01
1.061849722077568892e+00,1.320759099023221417e+00,1.457910631789783862e+00,-1.700748035468305552e+00
1.070447663731581844e+00,1.316890674846777909e+00,1.856291718104218003e+00,-2.874316021064477589e+00
1.079045659480005304e+00,1.314999152539844340e+00,2.391025347272560442e+00,-4.045905047425884860e+00
1.088037034980508633e+00,1.317432407231888147e+00,3.003493932159219781e+00,-5.195868255092550569e+00
1.096562727131221715e+00,1.320098774815491538e+00,3.662095685598755423e+00,-6.303164149199026234e+00
1.105311865204025690e+00,1.322856518160737460e+00,4.351106222253076083e+00,-7.346620107410978484e+00
1.114573460575590147e+00,1.317208578917855144e+00,5.041817356461944399e+00,-8.306238727776594999e+00
1.124038150154500704e+00,1.315018027463208394e+00,5.684601037769491327e+00,-9.164253060498827708e+00
1.133749981858937161e+00,1.315551430261573618e+00,6.230619410712743722e+00,-9.906245001244421644e+00
1.143994711855021773e+00,1.321407233590556007e+00,6.646224561487633409e+00,-1.052232912377746743e+01
1.153861572369110133e+00,1.314796794054277962e+00,6.898856471950180591e+00,-1.100743625107414836e+01
1.163694518442719872e+00,1.305736303464233750e+00,6.942123855834429591e+00,-1.136022532800805962e+01
1.172941348875400802e+00,1.303913997215930820e+00,6.733564523951758751e+00,-1.158101912269740907e+01
1.181817312386813645e+00,1.306702917311845402e+00,6.266509028017812177e+00,-1.167053663532097829e+01
1.190752322025446786e+00,1.316876233117397321e+00,5.585570298140288159e+00,-1.163060971472920357e+01
1.199499833327160259e+00,1.319480902613396012e+00,4.769713113339579813e+00,-1.146617219557970913e+01
1.208061130481794754e+00,1.320389458671807237e+00,3.905569457457187976e+00,-1.118621929015843897e+01
1.216336985575451557e+00,1.321324756878231588e+00,3.080377457128934626e+00,-1.080342493393179737e+01
1.224391538981011163e+00,1.320527320355820988e+00,2.377322412177760302e+00,-1.033294885705676691e+01
1.231833766475623149e+00,1.318993740705741935e+00,1.864821564310219948e+00,-9.791067553955700831e+00
1.238545010667271074e+00,1.318715580273328802e+00,1.585446582567208385e+00,-9.194137064396418424e+00
1.244636582448516826e+00,1.320106717425311826e+00,1.546542987874416575e+00,-8.558387663656834121e+00
1.250190393365417707e+00,1.322189661338812883e+00,1.718869977743466837e+00,-7.900711378925374895e+00
1.255592939251752194e+00,1.322390522377544730e+00,2.045637222558374990e+00,-7.239950042723953594e+00
1.261292400584541173e+00,1.321054811528640016e+00,2.453722396932048522e+00,-6.597673249727029621e+00
1.266963381201790195e+00,1.320672956762229511e+00,2.864312158418054644e+00,-5.997510715514267510e+00
1.272658719078661571e+00,1.316777783577314231e+00,3.203715969625546389e+00,-5.462768577443251061e+00
1.278340424576196233e+00,1.308785707696116907e+00,3.415159705170619286e+00,-5.012887970038973684e+00
1.283362630071414046e+00,1.308736448481851777e+00,3.477254580369331105e+00,-4.659783145835446838e+00
1.287706988461413848e+00,1.314283295302087762e+00,3.409908325380187843e+00,-4.405407840780690698e+00
1.291753450087134825e+00,1.319860719886974065e+00,3.264331595966594612e+00,-4.241767381343958476e+00
1.295285517570390121e+00,1.323579127414301615e+00,3.112155378530941707e+00,-4.153288553635439584e+00
1.298429458819658766e+00,1.321288586854456604e+00,3.026655048028715989e+00,-4.120360992761812113e+00
1.301406868452400944e+00,1.301718317269779046e+00,3.055852538105978233e+00,-4.122747153827231337e+00
1.304136348384349775e+00,1.306621792494920387e+00,3.199180761267458539e+00,-4.142314600879756448e+00
1.306839984491306561e+00,1.308257115386130431e+00,3.410644773044697597e+00,-4.165115537744434882e+00
1.309019519467136572e+00,1.306780720931832285e+00,3.625165345779913562e+00,-4.182591265982728679e+00
1.310496532999303687e+00,1.309235685885066447e+00,3.783390486761055715e+00,-4.191860336196810088e+00
1.311528590750890011e+00,1.285357625390843417e+00,3.860543255240093785e+00,-4.194656314113092144e+00
1.312333592943209615e+00,1.171364059972705096e+00,3.879072680875200074e+00,-4.194721421723704324e+00
1.312751305318959893e+00,1.171364059972705096e+00,3.879072680875200074e+00,-4.194721421723704324e+00
