progress,invariant1,invariant2,invariant3
2.495499510879823357e-01,1.317120185157612422e+00,-5.000262424833283426e+00,-5.627584811197887227e+00
2.591325739885043111e-01,1.305820836225419557e+00,-5.516378220500394391e+00,-5.810920443184857120e+00
2.685600374509790056e-01,1.300833023575074465e+00,-5.950760848775102474e+00,-5.757281095185492248e+00
2.778936561144924600e-01,1.304022248632246139e+00,-6.237577528749230105e+00,-5.458642518725303816e+00
2.871013601699913265e-01,1.309443360127770184e+00,-6.345586256170260953e+00,-4.923103475282986530e+00
2.963225672344375061e-01,1.315935328079481881e+00,-6.282753789459862404e+00,-4.174322960830028961e+00
3.054007320652111779e-01,1.322014763948043958e+00,-6.083393712565730027e+00,-3.248410545669534244e+00
3.149037237545814771e-01,1.324152656966278041e+00,-5.792064721739459188e+00,-2.189093375896301374e+00
3.251353062194163868e-01,1.324120560944433089e+00,-5.452429326747411764e+00,-1.042461018371073411e+00
3.353234804161995819e-01,1.319135750829411702e+00,-5.100872076103545538e+00,1.475137826615388614e-01
3.454918703679242253e-01,1.319409026267169160e+00,-4.767352774890703415e+00,1.342271440738695532e+00
3.561819952640679632e-01,1.323103430457807095e+00,-4.480876676974988371e+00,2.510777876564462385e+00
3.671931772798137095e-01,1.321366972820532393e+00,-4.261064441334840858e+00,3.630057571118899595e+00
3.779991615466273269e-01,1.316695525796337085e+00,-4.106576957431228969e+00,4.684533436312571908e+00
3.889577985698903229e-01,1.318171445163327293e+00,-3.999137135351751748e+00,5.664922392317035538e+00
3.995782876415877038e-01,1.318438405065063934e+00,-3.921492097773707552e+00,6.566945826293328459e+00
4.097205278290254604e-01,1.320836324150971297e+00,-3.870484307345973374e+00,7.389852454394923775e+00
4.195294079182295688e-01,1.320941306343968780e+00,-3.850341852622256589e+00,8.135047841057737372e+00
4.299772901707774597e-01,1.322099731272962986e+00,-3.863251170551103453e+00,8.804962356464328010e+00
4.412210119875521475e-01,1.323721581214296172e+00,-3.908277246118350146e+00,9.401928856002697898e+00
4.523134186159140091e-01,1.324211537302788289e+00,-3.977460512890396593e+00,9.927084745166586899e+00
4.631829657626141405e-01,1.321011916191023872e+00,-4.050148126008687122e+00,1.037938789382141103e+01
4.744268526820080156e-01,1.319044269998367769e+00,-4.095597709620483862e+00,1.075472142630211536e+01
4.860156571701010897e-01,1.319077758566579828e+00,-4.087050345515002903e+00,1.104516994923103290e+01
4.973404208788121950e-01,1.322248590887233899e+00,-4.015448649502685541e+00,1.123892045750116608e+01
5.094462719568686460e-01,1.322599374787601922e+00,-3.887615580907012092e+00,1.132094944668259728e+01
5.220940893393362092e-01,1.318844341951175281e+00,-3.710900316108573183e+00,1.127410565244525387e+01
5.345785714796463806e-01,1.317588554106768228e+00,-3.486351253078822765e+00,1.108019720867673108e+01
5.470043855522185305e-01,1.317622576703288750e+00,-3.218617784173789964e+00,1.072116641990720431e+01
5.594039523680958137e-01,1.319088419759755215e+00,-2.926844311053193426e+00,1.018045905235702442e+01
5.716342472417419440e-01,1.319923169410704311e+00,-2.645288651278424386e+00,9.444312546675480036e+00
5.834064245169953145e-01,1.319547268320476974e+00,-2.414233381176078108e+00,8.502669205635651650e+00
5.953665900894333785e-01,1.318719364752190204e+00,-2.269707042519072626e+00,7.349652707563043563e+00
6.076403643192306303e-01,1.318700285819039308e+00,-2.237885269393470988e+00,5.983837809378459660e+00
6.200369307294235632e-01,1.320518672287150252e+00,-2.332607456570020776e+00,4.408501925590578630e+00
6.329483719267787745e-01,1.321594817169508440e+00,-2.553045935997558136e+00,2.632128548430292536e+00
6.458412445797654389e-01,1.323490467620435096e+00,-2.884775812726553479e+00,6.693131961788149065e-01
6.585968069695062876e-01,1.325477676855994380e+00,-3.304142761012261342e+00,-1.457945263928160040e+00
6.709939131800943812e-01,1.328465398221729377e+00,-3.779779056617777133e+00,-3.718753049324745596e+00
6.835577035687598890e-01,1.330064256521008570e+00,-4.269553663209237016e+00,-6.071931768598371804e+00
6.958784385147963603e-01,1.331213325493086019e+00,-4.718003078319823018e+00,-8.465175809032967180e+00
7.074390381264576977e-01,1.332209544231937492e+00,-5.058406011143692815e+00,-1.083499196250934915e+01
7.186235892521979363e-01,1.330533858964263016e+00,-5.214849715043901490e+00,-1.310740687732431908e+01
7.295086389249155756e-01,1.327165618973132899e+00,-5.107306337508694227e+00,-1.519938280026483923e+01
7.399083026329646984e-01,1.320194328658337746e+00,-4.662401466256742566e+00,-1.702155759045516348e+01
